year,date,median,low,high
2020,2020-07-24,4.0,0,13.0
2020,2020-07-25,3.0,0,12.0
2020,2020-07-26,2.0,0,10.0
2020,2020-07-27,3.0,0,11.0
2020,2020-07-28,4.0,0,13.0
2020,2020-07-29,4.0,0,13.0
2020,2020-07-30,4.0,0,14.0
2020,2020-07-31,4.0,0,14.0
2020,2020-08-01,3.0,0,12.0
2020,2020-08-02,2.0,0,10.0
2020,2020-08-03,4.0,0,13.0
2020,2020-08-04,3.0,0,11.0
2020,2020-08-05,4.0,0,14.0
2020,2020-08-06,4.0,0,14.0
2020,2020-08-07,4.0,0,14.0
2020,2020-08-08,3.0,0,12.0
2020,2020-08-09,2.0,0,9.0
2020,2020-08-10,3.0,0,12.0
2020,2020-08-11,3.0,0,12.0
2020,2020-08-12,3.0,0,11.0
2020,2020-08-13,3.0,0,12.0
2020,2020-08-14,4.0,0,14.0
2020,2020-08-15,3.0,0,12.0
2020,2020-08-16,2.0,0,9.0
2020,2020-08-17,3.0,0,12.0
2020,2020-08-18,4.0,0,13.0
2020,2020-08-19,3.0,0,12.0
2020,2020-08-20,4.0,0,13.0
2020,2020-08-21,4.0,0,14.0
2020,2020-08-22,3.0,0,12.0
2020,2020-08-23,2.0,0,10.0
2020,2020-08-24,3.0,0,11.0
2020,2020-08-25,3.0,0,11.0
2020,2020-08-26,4.0,0,12.0
2020,2020-08-27,3.0,0,11.0
2020,2020-08-28,3.0,0,11.0
2020,2020-08-29,3.0,0,11.0
2020,2020-08-30,2.0,0,9.0
2020,2020-08-31,3.0,0,11.0
2020,2020-09-01,4.0,0,13.0
2020,2020-09-02,4.0,0,12.0
2020,2020-09-03,4.0,0,13.0
2020,2020-09-04,4.0,0,14.0
2020,2020-09-05,3.0,0,12.0
2020,2020-09-06,3.0,0,10.0
2020,2020-09-07,2.0,0,9.0
2020,2020-09-08,4.0,0,13.0
2020,2020-09-09,4.0,0,13.0
2020,2020-09-10,4.0,0,13.0
2020,2020-09-11,4.0,0,14.0
2020,2020-09-12,3.0,0,13.0
2020,2020-09-13,2.0,0,9.0
2020,2020-09-14,4.0,0,13.0
2020,2020-09-15,4.0,0,12.0
2020,2020-09-16,4.0,0,13.0
2020,2020-09-17,4.0,0,13.0
2020,2020-09-18,4.0,0,13.0
2020,2020-09-19,3.0,0,12.0
2020,2020-09-20,2.0,0,9.0
2020,2020-09-21,3.0,0,10.0
2020,2020-09-22,4.0,0,12.0
2020,2020-09-23,4.0,0,13.0
2020,2020-09-24,4.0,0,13.0
2020,2020-09-25,4.0,0,14.0
2020,2020-09-26,3.0,0,12.0
2020,2020-09-27,3.0,0,11.0
2020,2020-09-28,3.0,0,11.0
2020,2020-09-29,3.0,0,11.0
2020,2020-09-30,4.0,0,13.0
2020,2020-10-01,4.0,0,13.0
2020,2020-10-02,4.0,0,14.0
2020,2020-10-03,3.0,0,12.0
2020,2020-10-04,2.0,0,9.0
2020,2020-10-05,3.0,0,11.0
2020,2020-10-06,3.0,0,11.0
2020,2020-10-07,4.0,0,13.0
2020,2020-10-08,4.0,0,13.0
2020,2020-10-09,4.0,0,14.0
2020,2020-10-10,3.0,0,13.0
2020,2020-10-11,3.0,0,11.0
2020,2020-10-12,3.0,0,10.0
2020,2020-10-13,3.0,0,11.0
2020,2020-10-14,4.0,0,13.0
2020,2020-10-15,4.0,0,13.0
2020,2020-10-16,4.0,0,12.0
2020,2020-10-17,3.0,0,12.0
2020,2020-10-18,2.0,0,10.0
2020,2020-10-19,3.0,0,11.0
2020,2020-10-20,4.0,0,12.0
2020,2020-10-21,4.0,0,12.0
2020,2020-10-22,4.0,0,13.0
2020,2020-10-23,4.0,0,14.0
2020,2020-10-24,3.0,0,12.0
2020,2020-10-25,3.0,0,10.0
2020,2020-10-26,3.0,0,11.0
2020,2020-10-27,4.0,0,13.0
2020,2020-10-28,3.0,0,11.0
2020,2020-10-29,3.0,0,11.0
2020,2020-10-30,4.0,0,13.0
2020,2020-10-31,3.0,0,12.0
2020,2020-11-01,2.0,0,9.0
2020,2020-11-02,3.0,0,11.0
2020,2020-11-03,3.0,0,11.0
2020,2020-11-04,3.0,0,17.0
2020,2020-11-05,3.0,0,18.0
2020,2020-11-06,4.0,0,18.0
2020,2020-11-07,3.0,0,17.0
2020,2020-11-08,2.0,0,20.0
2020,2020-11-09,3.0,0,10.0
2020,2020-11-10,3.0,0,11.0
2020,2020-11-11,3.0,0,11.0
2020,2020-11-12,3.0,0,11.0
2020,2020-11-13,4.0,0,13.0
2020,2020-11-14,3.0,0,12.0
2020,2020-11-15,2.0,0,9.0
2020,2020-11-16,3.0,0,11.0
2020,2020-11-17,3.0,0,11.0
2020,2020-11-18,3.0,0,10.0
2020,2020-11-19,3.0,0,11.0
2020,2020-11-20,3.0,0,12.0
2020,2020-11-21,3.0,0,12.0
2020,2020-11-22,2.0,0,9.0
2020,2020-11-23,3.0,0,10.0
2020,2020-11-24,3.0,0,11.0
2020,2020-11-25,3.0,0,11.0
2020,2020-11-26,1.0,0,6.0
2020,2020-11-27,2.0,0,10.0
